NodeID,Shortened FTPlus name,Full HiP-HOPS name,Description
279,="AND [Value-Brake_Unit2.Wh..(279)",AND [Value-Brake_Unit2.Wheel_Node_Controller.Out1],
290,="AND [Value-Brake_Unit2.Wh..(290)",AND [Value-Brake_Unit2.Wheel_Node_Controller.Out2],
319,="Value-Brake_Unit3.Add.Bra..(319)",Value-Brake_Unit3.Add.Braking,
323,="OFailure1(323)",Brake_Unit3.EMB:OFailure1,
324,="VFailure1(324)",Brake_Unit3.EMB:VFailure1,
337,="VFailure1(337)",Brake_Unit3.EMB_Power_Converter:VFailure1,
338,="OFailure1(338)",Brake_Unit3.EMB_Power_Converter:OFailure1,
355,="OFailure1(355)",Brake_Unit3.IWM:OFailure1,
356,="VFailure1(356)",Brake_Unit3.IWM:VFailure1,
379,="VFailure1(379)",Brake_Unit3.IWM_Power_Converter:VFailure1,
380,="OFailure1(380)",Brake_Unit3.IWM_Power_Converter:OFailure1,
403,="OFailure1(403)",Brake_Unit3.Wheel_Node_Controller:OFailure1,
404,="OFailure2(404)",Brake_Unit3.Wheel_Node_Controller:OFailure2,
405,="VFailure1(405)",Brake_Unit3.Wheel_Node_Controller:VFailure1,
406,="VFailure2(406)",Brake_Unit3.Wheel_Node_Controller:VFailure2,
410,="AND [Omission-Brake_Unit3..(410)",AND [Omission-Brake_Unit3.Wheel_Node_Controller.Out1],
421,="AND [Omission-Brake_Unit3..(421)",AND [Omission-Brake_Unit3.Wheel_Node_Controller.Out2],
430,="AND [Value-Brake_Unit3.Wh..(430)",AND [Value-Brake_Unit3.Wheel_Node_Controller.Out1],
441,="AND [Value-Brake_Unit3.Wh..(441)",AND [Value-Brake_Unit3.Wheel_Node_Controller.Out2],
470,="Value-Brake_Unit4.Add.Bra..(470)",Value-Brake_Unit4.Add.Braking,
474,="OFailure1(474)",Brake_Unit4.EMB:OFailure1,
475,="VFailure1(475)",Brake_Unit4.EMB:VFailure1,
488,="VFailure1(488)",Brake_Unit4.EMB_Power_Converter:VFailure1,
489,="OFailure1(489)",Brake_Unit4.EMB_Power_Converter:OFailure1,
506,="OFailure1(506)",Brake_Unit4.IWM:OFailure1,
507,="VFailure1(507)",Brake_Unit4.IWM:VFailure1,
530,="VFailure1(530)",Brake_Unit4.IWM_Power_Converter:VFailure1,
531,="OFailure1(531)",Brake_Unit4.IWM_Power_Converter:OFailure1,
554,="OFailure1(554)",Brake_Unit4.Wheel_Node_Controller:OFailure1,
555,="OFailure2(555)",Brake_Unit4.Wheel_Node_Controller:OFailure2,
556,="VFailure1(556)",Brake_Unit4.Wheel_Node_Controller:VFailure1,
557,="VFailure2(557)",Brake_Unit4.Wheel_Node_Controller:VFailure2,
561,="AND [Omission-Brake_Unit4..(561)",AND [Omission-Brake_Unit4.Wheel_Node_Controller.Out1],
572,="AND [Omission-Brake_Unit4..(572)",AND [Omission-Brake_Unit4.Wheel_Node_Controller.Out2],
581,="AND [Value-Brake_Unit4.Wh..(581)",AND [Value-Brake_Unit4.Wheel_Node_Controller.Out1],
592,="AND [Value-Brake_Unit4.Wh..(592)",AND [Value-Brake_Unit4.Wheel_Node_Controller.Out2],
611,="OFailure1(611)",Communication_Bus1:OFailure1,
615,="AND [Omission-Communicati..(615)",AND [Omission-Communication_Bus1.Out1],
627,="AND [Value-Communication_..(627)",AND [Value-Communication_Bus1.Out1],
635,="OFailure1(635)",Communication_Bus2:OFailure1,
639,="AND [Omission-Communicati..(639)",AND [Omission-Communication_Bus2.Out1],
651,="AND [Value-Communication_..(651)",AND [Value-Communication_Bus2.Out1],
659,="OFailure1(659)",Electronic_Pedal:OFailure1,
660,="OFailure2(660)",Electronic_Pedal:OFailure2,
661,="VFailure1(661)",Electronic_Pedal:VFailure1,
662,="VFailure2(662)",Electronic_Pedal:VFailure2,
683,="OFailure1(683)",Mechanical_Pedal:OFailure1,
684,="VFailure1(684)",Mechanical_Pedal:VFailure1,
689,="OFailure1(689)",Powertrain_Battery:OFailure1,
690,="VFailure1(690)",Powertrain_Battery:VFailure1,
1650,="No_Braking_3_Wheels(1650)",No_Braking_3_Wheels,
1651,="AND(1651)",AND,
1655,="AND(1655)",AND,
1659,="AND(1659)",AND,
1663,="AND(1663)",AND,
1667,="OR [Omission-Brake_Unit1..(1667)",OR [Omission-Brake_Unit1.EMB.Out1],
1670,="OR [Omission-Brake_Unit1..(1670)",OR [Omission-Brake_Unit1.In1],
1672,="OR [Omission-Electronic_..(1672)",OR [Omission-Electronic_Pedal.Out1],
1674,="OR [Omission-Electronic_..(1674)",OR [Omission-Electronic_Pedal.Out2],
1675,="OR [Omission-Brake_Unit1..(1675)",OR [Omission-Brake_Unit1.In2],
1679,="OR [Omission-Brake_Unit1..(1679)",OR [Omission-Brake_Unit1.IWM.Out1],
1684,="OR [Omission-Brake_Unit2..(1684)",OR [Omission-Brake_Unit2.EMB.Out1],
1687,="OR [Omission-Brake_Unit2..(1687)",OR [Omission-Brake_Unit2.In1],
1688,="OR [Omission-Brake_Unit2..(1688)",OR [Omission-Brake_Unit2.In2],
1690,="OR [Omission-Brake_Unit2..(1690)",OR [Omission-Brake_Unit2.IWM.Out1],
1694,="OR [Omission-Brake_Unit3..(1694)",OR [Omission-Brake_Unit3.EMB.Out1],
1697,="OR [Omission-Brake_Unit3..(1697)",OR [Omission-Brake_Unit3.In1],
1698,="OR [Omission-Brake_Unit3..(1698)",OR [Omission-Brake_Unit3.In2],
1700,="OR [Omission-Brake_Unit3..(1700)",OR [Omission-Brake_Unit3.IWM.Out1],
1704,="OR [Omission-Brake_Unit4..(1704)",OR [Omission-Brake_Unit4.EMB.Out1],
1707,="OR [Omission-Brake_Unit4..(1707)",OR [Omission-Brake_Unit4.In1],
1708,="OR [Omission-Brake_Unit4..(1708)",OR [Omission-Brake_Unit4.In2],
1710,="OR [Omission-Brake_Unit4..(1710)",OR [Omission-Brake_Unit4.IWM.Out1],
1714,="No_Braking_4_Wheels(1714)",No_Braking_4_Wheels,
1715,="AND(1715)",AND,
1720,="No_Braking_Diagonal(1720)",No_Braking_Diagonal,
1721,="AND(1721)",AND,
1724,="AND(1724)",AND,
1727,="No_Braking_Front(1727)",No_Braking_Front,
1728,="AND(1728)",AND,
1731,="No_Braking_Rear(1731)",No_Braking_Rear,
1732,="AND(1732)",AND,
1735,="Value_Braking(1735)",Value_Braking,
1736,="AND(1736)",AND,
1748,="OR [Value-Electronic_Ped..(1748)",OR [Value-Electronic_Pedal.Out2],
1749,="OR [Value-Brake_Unit1.In2](1749)",OR [Value-Brake_Unit1.In2],
1762,="OR [Value-Brake_Unit2.In2](1762)",OR [Value-Brake_Unit2.In2],
1772,="OR [Value-Brake_Unit3.In2](1772)",OR [Value-Brake_Unit3.In2],
1782,="OR [Value-Brake_Unit4.In2](1782)",OR [Value-Brake_Unit4.In2],
